Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
PMM0833	PMM0833	hypothetical protein	TX50_RS04460		
PMM1219	PMM1219	SDR family oxidoreductase	TX50_RS06570		
PMM0792	PMM0792	hypothetical protein	TX50_RS04225		
accC	PMM0060	acetyl-CoA carboxylase biotin carboxylase subunit	TX50_RS00320	biotin-carboxyl carrier protein assembly	Fatty Acid and Lipid Biosynthesis
PMM0721	PMM0721	Possible Myosin N-terminal SH3-like domain	TX50_RS03855		
atpA	PMM1451	ATP synthase alpha chain	TX50_RS07805	ATP biosynthesis	Generation of Precursor Metabolites and Energy
PMM1872	PMM1872	hypothetical protein	TX50_RS03695		
icd	PMM1596	NADP-dependent isocitrate dehydrogenase	TX50_RS08540	partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
PMM0640	PMM0640	hypothetical protein	TX50_RS03395		
PMM0332	PMM0332	rhomboid family intramembrane serine protease	TX50_RS01750		
PMM0510	PMM0510	Possible Reverse transcriptase (RNA-dependent)	TX50_RS02740		
PMM0432	PMM0432	DUF721 domain-containing protein	TX50_RS02330		
PMM1847	PMM1847	hypothetical protein	TX50_RS02275		
pdeM	PMM0727	ligase-associated DNA damage response endonuclease PdeM	TX50_RS03885		
PMM1831	PMM1831	hypothetical protein	TX50_RS01960		
argC	PMM0892	N-acetyl-gamma-glutamyl-phosphate reductase	TX50_RS04765	L-arginine biosynthesis I (via L-ornithine) // L-arginine biosynthesis II (acetyl cycle) // L-ornithine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0309	PMM0309	Possible Pollen allergen	TX50_RS01600		
PMM1202	PMM1202	NAD(P)-dependent oxidoreductase	TX50_RS06485		
PMM0127	PMM0127	Possible Signal peptide binding domain	TX50_RS00670		
PMM0041	PMM0041	NAD(P)H-dependent oxidoreductase	TX50_RS00220		
PMM0063	PMM0063	hypothetical protein	TX50_RS00335		
pyrR	PMM1433	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	TX50_RS07720	superpathway of pyrimidine nucleobases salvage // pyrimidine nucleobases salvage I	Superpathways // Nucleoside and Nucleotide Biosynthesis
TX50_RS09470		hypothetical protein			
ppc	PMM1575	phosphoenolpyruvate carboxylase	TX50_RS08435	partial TCA cycle (obligate autotrophs) // CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation
PMM1802	PMM1802	hypothetical protein	TX50_RS09385		
PMM0316	PMM0316	(2Fe-2S)-binding protein	TX50_RS01640		
PMM1586	PMM1586	hypothetical protein	TX50_RS09340		
PMM0416	PMM0416	methyltransferase domain-containing protein	TX50_RS02235		
PMM1633	PMM1633	hypothetical protein	TX50_RS08730		
PMM0703	PMM0703	DUF1499 domain-containing protein	TX50_RS03755		
PMM1513	PMM1513	YCII domain-containing protein	TX50_RS08115		
PMM0875	PMM0875	DUF2237 domain-containing protein	TX50_RS04680		
PMM2010	PMM2010	hypothetical protein	TX50_RS07595		
rnpA	PMM1184	ribonuclease P	TX50_RS06390	tRNA processing	Nucleic Acid Processing
rbpD	PMM1376	RNA-binding protein	TX50_RS07395		
murB	PMM0021	UDP-N-acetylmuramate dehydrogenase	TX50_RS00120	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM1296	PMM1296	Marine cyanobacterial conserved hypothetical	TX50_RS06950		
hli8	PMM1397	high light inducible protein Hli8	TX50_RS07515		
PMM1176	PMM1176	Possible Helix-turn-helix protein, copG family	TX50_RS06350		
rplB	PMM1555	50S ribosomal protein L2	TX50_RS08325		
PMM1961	PMM1961	hypothetical protein	TX50_RS06100		
psbE	PMM0297	Cytochrome b559 alpha subunit PsbE	TX50_RS01540	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM1082	PMM1082	transcriptional regulator	TX50_RS05810		
recO	PMM0398	DNA repair protein RecO	TX50_RS02140		
PMM1023	PMM1023	Possible lactate/malate dehydrogenase, alpha/b	TX50_RS05495		
PMM0675	PMM0675	uracil-DNA glycosylase	TX50_RS03590		
TX50_RS05345		hypothetical protein			
rpmF	PMM0853	50S ribosomal protein L32	TX50_RS04560		
PMM0957	PMM0957	Possible GRAM domain	TX50_RS05095		
cobQ	PMM1160	cobyric acid synthase	TX50_RS06255	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1896	PMM1896	hypothetical protein	TX50_RS04360		
rpoA	PMM1535	DNA-directed RNA polymerase subunit alpha	TX50_RS08230		
PMM0773	PMM0773	Possible Geminivirus coat protein	TX50_RS04130		
PMM1377	PMM1377	aldehyde reductase	TX50_RS07400		
PMM0717	PMM0717	hypothetical protein	TX50_RS03830		
folP	PMM0830	dihydropteroate synthase	TX50_RS04445	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis I // tetrahydrofolate biosynthesis II	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1868	PMM1868	hypothetical protein	TX50_RS03665		
hisB	PMM0281	imidazoleglycerol-phosphate dehydratase HisB	TX50_RS01460	L-histidine biosynthesis	Amino Acid Biosynthesis
PMM0626	PMM0626	hypothetical protein	TX50_RS03325		
PMM1518	PMM1518	C40 family peptidase	TX50_RS08140		
PMM0488	PMM0488	hypothetical protein	TX50_RS02630		
rluF	PMM0658	23S rRNA pseudouridine(2604) synthase RluF	TX50_RS03495		
PMM0404	PMM0404	hypothetical protein	TX50_RS02170		
PMM0806	PMM0806	helix-turn-helix domain-containing protein	TX50_RS04295		
PMM0361	PMM0361	Possible Phosphoenolpyruvate carboxykinase	TX50_RS01915	gluconeogenesis I	Carbohydrate Biosynthesis
PMM1143	PMM1143	ferredoxin	TX50_RS06160		
PMM0267	PMM0267	esterase	TX50_RS01385		
ffh	PMM1286	signal recognition particle protein	TX50_RS06900		
PMM0119	PMM0119	hypothetical protein	TX50_RS00625		
PMM1354	PMM1354	phosphoglycerate dehydrogenase	TX50_RS07260	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0055	PMM0055	hypothetical protein	TX50_RS00290		
dapL	PMM1500	LL-diaminopimelate aminotransferase	TX50_RS08050	L-lysine biosynthesis VI	Amino Acid Biosynthesis
PMM1917	PMM1917	hypothetical protein	TX50_RS09455		
ispH	PMM0264	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	TX50_RS01370	methylerythritol phosphate pathway II	Secondary Metabolite Biosynthesis
TX50_RS09290		hypothetical protein			
leuB	PMM0786	3-isopropylmalate dehydrogenase	TX50_RS04195	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM1617	PMM1617	hypothetical protein	TX50_RS08650		
PMM0635	PMM0635	mechanosensitive ion channel	TX50_RS03370		
PMM1448	PMM1448	hypothetical protein	TX50_RS07790		
ftsH3	PMM1264	ATP-dependent zinc metalloprotease FtsH3	TX50_RS06795		
PMM1408	PMM1408	hypothetical protein	TX50_RS07575		
hli4	PMM1118	high light inducible protein Hli4	TX50_RS05995		
PMM1983	PMM1983	hypothetical protein	TX50_RS07375		
rpoC1	PMM1484	DNA-directed RNA polymerase subunit gamma	TX50_RS07970		
TX50_RS06810		hypothetical protein			
fabZ	PMM1336	3-hydroxyacyl-ACP dehydratase FabZ	TX50_RS07170	fatty acid elongation -- saturated // stearate biosynthesis II (bacteria and plants) // stearate biosynthesis IV // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III	Fatty Acid and Lipid Biosynthesis
PMM1172	PMM1172	hypothetical protein	TX50_RS06330		
PMM0378	PMM0378	DUF3303 domain-containing protein	TX50_RS02010		
PMM1958	PMM1958	hypothetical protein	TX50_RS06080		
ntcA	PMM0246	global nitrogen regulator NtcA	TX50_RS01275		
sasA	PMM1077	two-component sensor histidine kinase 2	TX50_RS05785		
glpX	PMM0767	class II fructose-bisphosphatase	TX50_RS04100	gluconeogenesis I // sucrose biosynthesis I (from photosynthesis) // oxygenic photosynthesis // Calvin-Benson-Bassham cycle	Carbohydrate Biosynthesis // Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation
PMM1022	PMM1022	hypothetical protein	TX50_RS05480		
PMM0615	PMM0615	carbon-nitrogen hydrolase family protein	TX50_RS03270		
PMM0999	PMM0999	hypothetical protein	TX50_RS05330		
PMM1240	PMM1240	class I SAM-dependent methyltransferase	TX50_RS06675		
PMM0934	PMM0934	hypothetical protein	TX50_RS04980		
recR	PMM1097	recombination protein RecR	TX50_RS05885		
TX50_RS04345		hypothetical protein			
PMM1467	PMM1467	DEAD/DEAH box helicase	TX50_RS07885		
PMM0737	PMM0737	Hypothetical membrane protein	TX50_RS03950		
ilvC	PMM1315	Ketol-acid reductoisomerase	TX50_RS07055	L-valine biosynthesis // superpathway of L-isoleucine biosynthesis I // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine) // phosphopantothenate biosynthesis I	Amino Acid Biosynthesis // Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0707	PMM0707	Possible Lipoprotein	TX50_RS03775		
PMM0355	PMM0355	DUF1330 domain-containing protein	TX50_RS01885		
TX50_RS03645		hypothetical protein			
psbO	PMM0228	Photosystem II manganese-stabilizing protein PsbO	TX50_RS01175	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0599	PMM0599	hypothetical protein	TX50_RS03190		
PMM0750	PMM0750	ATP-binding cassette domain-containing protein	TX50_RS04020		
PMM1851	PMM1851	hypothetical protein	TX50_RS02595		
trpS	PMM0598	tryptophan--tRNA ligase	TX50_RS03185	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0386	PMM0386	Possible uncharacterized DNA methylase	TX50_RS02060		
PMM1218	PMM1218	adenylyltransferase/cytidyltransferase family protein	TX50_RS06565		
PMM0348	PMM0348	Possible Spectrin repeat	TX50_RS01845		
petH	PMM1075	ferredoxin&mdash;NADP<small><sup>+</sup></small> reductase	TX50_RS05770	oxygenic photosynthesis // photosynthesis light reactions // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM0237	PMM0237	hypothetical protein	TX50_RS01230		
atpG	PMM1450	ATP synthase gamma chain	TX50_RS07800	ATP biosynthesis	Generation of Precursor Metabolites and Energy
PMM0114	PMM0114	membrane protein	TX50_RS00600		
PMM0208	PMM0208	phosphopyruvate hydratase	TX50_RS01075	Rubisco shunt // gluconeogenesis I // Entner-Doudoroff pathway I	Generation of Precursor Metabolites and Energy // Carbohydrate Biosynthesis // Superpathways // Carbohydrate Degradation
PMM0034	PMM0034	hypothetical protein	TX50_RS00185		
PMM0331	PMM0331	aldehyde dehydrogenase family protein	TX50_RS01745		
PMM1882	PMM1882	hypothetical protein	TX50_RS09435		
PMM0580	PMM0580	AAA domain-containing protein	TX50_RS03095		
CP12	PMM0220	CP12 protein	TX50_RS09240		
pstB	PMM0725	ABC-type phosphate transporter, ATP-binding protein component	TX50_RS03875		
PMM1597	PMM1597	hypothetical protein	TX50_RS08545		
petG	PMM1058	cytochrome b6-f complex subunit PetG	TX50_RS05685	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM1424	PMM1424	Possible Uncharacterized protein family UPF003	TX50_RS07675		
PMM1201	PMM1201	NAD-dependent epimerase/dehydratase family protein	TX50_RS06480		
PMM1405	PMM1405	hypothetical protein	TX50_RS07560		
PMM0191	PMM0191	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	TX50_RS00990	ppGpp metabolism	Metabolic Regulator Biosynthesis
PMM1362	PMM1362	hypothetical protein	TX50_RS07305		
PMM1432	PMM1432	Hsp70 family protein	TX50_RS07715		
PMM1249	PMM1249	hypothetical protein	TX50_RS06715		
PMM1425	PMM1425	trypsin-like serine protease	TX50_RS09215		
PMM1969	PMM1969	hypothetical protein	TX50_RS06280		
psbB	PMM0315	photosystem II chlorophyll-binding protein CP47	TX50_RS01635	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM1130	PMM1130	hypothetical protein	TX50_RS06065		
PMM0562	PMM0562	GNAT family N-acetyltransferase	TX50_RS03000		
PMM1047	PMM1047	alpha/beta hydrolase	TX50_RS05630		
PMM0701	PMM0701	DUF3303 domain-containing protein	TX50_RS03745		
PMM1939	PMM1939	hypothetical protein	TX50_RS05455		
PMM1034	PMM1034	PQQ-binding-like beta-propeller repeat protein	TX50_RS05560		
PMM0991	PMM0991	Possible Paired amphipathic helix repeat	TX50_RS05285		
rpmH	PMM1183	50S ribosomal protein L34	TX50_RS06385		
PMM0872	PMM0872	Possible Carboxylesterase	TX50_RS04665		
menC	PMM0175	o-succinylbenzoate synthase	TX50_RS00910	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1892	PMM1892	hypothetical protein	TX50_RS04330		
hli9	PMM1396	high light inducible protein Hli9	TX50_RS07510		
PMM1883	PMM1883	hypothetical protein	TX50_RS03935		
PMM1703	PMM1703	FAD-binding oxidoreductase	TX50_RS09090		
PMM1875	PMM1875	hypothetical protein	TX50_RS03740		
PMM0296	PMM0296	photosynthesis system II assembly factor Ycf48	TX50_RS01535		
vnfG	PMM0657	possible Vanadium/alternative nitrogenase delta subunit	TX50_RS03490		
chlB	PMM0544	ChlB	TX50_RS02910	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
PMM0575	PMM0575	hypothetical protein	TX50_RS03070		
aspC	PMM0674	aspartate aminotransferase	TX50_RS03585	superpathway of L-tyrosine biosynthesis // L-tyrosine biosynthesis I // 3-(4-hydroxyphenyl)pyruvate biosynthesis // superpathway of L-methionine biosynthesis (transsulfuration) // superpathway of L-isoleucine biosynthesis I // superpathway of L-threonine biosynthesis // L-aspartate biosynthesis // L-aspartate degradation I // superpathway of L-phenylalanine biosynthesis // superpathway of aromatic amino acid biosynthesis // L-phenylalanine biosynthesis I	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis // Amino Acid Degradation
hli20	PMM0471	high light inducible protein Hli20	TX50_RS02530		
PMM1006	PMM1006	glutathione peroxidase	TX50_RS05380	glutathione-peroxide redox reactions // reactive oxygen species degradation	Cofactor, Carrier, and Vitamin Biosynthesis // Reactive Oxygen Species Degradation // Superpathways
PMM0382	PMM0382	Possible Ribosomal RNA adenine dimethylase	TX50_RS02035		
maf	PMM1159	septum formation protein Maf	TX50_RS06250		
TX50_RS01815		hypothetical protein			
ndhG	PMM0158	ferredoxin-quinone oxidoreductase subunit G	TX50_RS00825	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
sbtB	PMM0212	SbtB	TX50_RS01095		
PMM1373	PMM1373	DUF805 domain-containing protein	TX50_RS07380		
PMM0094	PMM0094	hypothetical protein	TX50_RS00500		
speB	PMM1686	agmatinase	TX50_RS09005	putrescine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	Amine and Polyamine Biosynthesis // Amino Acid Degradation
PMM1587	PMM1587	hypothetical protein	TX50_RS09505		
PMM0280	PMM0280	Apocarotenoid-15,15'-oxygenase	TX50_RS01455		
PMM0002	PMM0002	hypothetical protein	TX50_RS00025		
hemH	PMM0525	ferrochelatase	TX50_RS02815	heme <i>b</i> biosynthesis I (aerobic)	Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis
PMM0381	PMM0381	hypothetical protein	TX50_RS09420		
PMM0976	PMM0976	ABC-type multidrug transporter, ATP-binding protein component	TX50_RS05195		
PMM1855	PMM1855	DUF2839 domain-containing protein	TX50_RS03485		
dxr	PMM1142	1-deoxy-D-xylulose-5-phosphate reductoisomerase	TX50_RS06155	methylerythritol phosphate pathway II	Secondary Metabolite Biosynthesis
RNA_22	RNA_22	tRNA-Ala	TX50_RS06750	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0140	PMM0140	Ycf34 family protein	TX50_RS00735		
RNA_32	RNA_32	tRNA-Thr	TX50_RS02075	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1353	PMM1353	50S ribosomal protein L11 methyltransferase	TX50_RS07255		
ssrA	RNA_43	transfer-messenger RNA	TX50_RS09225		
sqdB	PMM1665	UDP-sulfoquinovose synthase	TX50_RS08895	sulfoquinovosyl diacylglycerol biosynthesis	Fatty Acid and Lipid Biosynthesis
RNA_9	RNA_9	tRNA-Pro	TX50_RS06020	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
amtB	PMM0263	ammonia permease	TX50_RS01365		
RNA_4	RNA_4	tRNA-Ala	TX50_RS01715	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0506	PMM0506	adenylosuccinate synthase	TX50_RS02720	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis	Superpathways // Nucleoside and Nucleotide Biosynthesis
RNA_18	RNA_18	tRNA-Gly	TX50_RS08780	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
por	PMM0634	Light dependent protochlorophyllide oxido-reductase	TX50_RS03365	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	Tetrapyrrole Biosynthesis
RNA_7	RNA_7	tRNA-Pro	TX50_RS05085	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
gpgP	PMM0960	glucosyl-3-phosphoglycerate phosphatase	TX50_RS05110	glucosylglycerate biosynthesis I	Metabolic Regulator Biosynthesis
RNA_33	RNA_33	tRNA-Thr	TX50_RS01660	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
psbY	PMM1117	photosystem II protein Y	TX50_RS05985	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
RNA_15	RNA_15	tRNA-Arg	TX50_RS08425	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0120	PMM0120	TIGR01777 family protein	TX50_RS00630		
RNA_6	RNA_6	tRNA-Thr	TX50_RS04595	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
lpxA	PMM1335	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	TX50_RS07165		
RNA_36	RNA_36	tRNA-Arg	TX50_RS01340	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
uvrB	PMM1649	excinuclease ABC subunit UvrB	TX50_RS08815		
RNA_13	RNA_13	tRNA-Val	TX50_RS07275	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0245	PMM0245	cob(I)alamin adenosyltransferase	TX50_RS01270	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis // adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide // adenosylcobinamide-GDP salvage from cobinamide I // adenosylcobalamin salvage from cobalamin	Superpathways // Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
RNA_5	RNA_5	tRNA-Leu	TX50_RS03040	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0489	PMM0489	ABC-type iron transporter, permease component	TX50_RS02635		
RNA_37	RNA_37	tRNA-Leu	TX50_RS00315	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0614	PMM0614	2-phosphosulfolactate phosphatase family protein	TX50_RS03265		
RNA_11	RNA_11	tRNA-Leu	TX50_RS06975	tRNA processing // tRNA charging	Nucleic Acid Processing // Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0941	PMM0941	glycine zipper 2TM domain-containing protein	TX50_RS05015		
